"id","team","token_name"
15782,"Brandon Roberts","Namecoin"
15783,"Jeremy Rand","Namecoin"
15784,"Ryan Castellucci","Namecoin"
15785,"Phelix","Namecoin"
15786,"Daniel Kraft","Namecoin"
15787,"Arno Pfefferling","ZenCash"
15788,"Davit Mrelashvili","ZenCash"
15789,"Jin Cai","ZenCash"
15790,"Jane Lippencott","ZenCash"
15791,"Rolf Versluis","ZenCash"
15792,"Rob Viglione","ZenCash"
15793,"Milos Milic","Einsteinium"
15794,"Vladan Bozilovic","Einsteinium"
15795,"Erick Calder","Einsteinium"
15796,"Ryan Wright","Einsteinium"
15797,"Malden Trifunovic","Einsteinium"
15798,"Jonathan Lauziere","Einsteinium"
15799,"Abdulwahab AL-Zuaby","MonetaryUnit"
15800,"Paul Jenkinson","MonetaryUnit"
15801,"Mike.N","MonetaryUnit"
15802,"NotSoFast","MonetaryUnit"
15803,"Johans","MonetaryUnit"
15804,"Bizzy B","MonetaryUnit"
15805,"Daoqun Wang","Metaverse ETP"
15806,"Sven","Metaverse ETP"
15807,"Dongyun Wang","Metaverse ETP"
15808,"Janice Shi","Metaverse ETP"
15809,"Hao Chen","Metaverse ETP"
15810,"Eric Gu","Metaverse ETP"
15811,"Sergii Vakula","Emercoin"
15812,"Eugene Merenkov","Emercoin"
15813,"Christopher Lovell","Emercoin"
15814,"Stan Polozov","Emercoin"
15815,"Eugene Shumilov","Emercoin"
15816,"Oleg Khovayko","Emercoin"
15817,"Karel Petr","Bismuth"
15818,"raetsch","Bismuth"
15819,"George Bogdan","Bismuth"
15820,"Bryan McEachran","Bismuth"
15821,"Ian McEvoy","Bismuth"
15822,"Jan Kučera","Bismuth"
15823,"Alex Sterk","Ubiq"
15824,"Aldo Borrero","Ubiq"
15825,"Kris Hansen","Ubiq"
15826,"Luke Williams","Ubiq"
15827,"Julian Yap","Ubiq"
15828,"Liyu Wu","GXShares"
15829,"Xiaopeng Xu","GXShares"
15830,"Ruosong Xu","GXShares"
15831,"Cheng Wang","GXShares"
15832,"Guojun Tu","GXShares"
15833,"Minqiang Huang","GXShares"
15834,"Alexandru S.","FirstCoin"
15835,"Chris C.","FirstCoin"
15836,"Josip B.","FirstCoin"
15837,"George P. B.","FirstCoin"
15838,"Keith Smith","Nexus"
15839,"Preston Smith","Nexus"
15840,"Colin Cantrell","Nexus"
15841,"Dr. Joseph Liu","Hshare"
15842,"Ryan Xu","Hshare"
15843,"Dawu Gu","Hshare"
15844,"Andrew Wasylewicz","Hshare"
15845,"Khal Achkar","Hshare"
15846,"Dallas Brooks","Hshare"
15847,"Robert Breadon","UniFox"
15848,"Wes Carlson","UniFox"
15849,"Ugur Ozer","UniFox"
15850,"Martin Král","UniFox"
15851,"Varun Datta","UniFox"
15852,"Saransh Sharma","UniFox"
15853,"Ruslan Sokolovsky","UniFox"
15854,"Alexey Zhuchenko","UniFox"
15855,"Jan Karn","UniFox"
15856,"Jan Severa","UniFox"
15857,"Vanessa Guzman","UniFox"
15858,"Vandres Guzman","UniFox"
15859,"Martin Šilhánek","UniFox"
15860,"Matyáš Douša","UniFox"
15861,"Sergey Kravchenko","UniFox"
15862,"Tomáš Šklíba","UniFox"
15863,"Karol Suchánek","UniFox"
15864,"Vladislav Pogrebnyak","UniFox"
15865,"Dominik Kadaně","UniFox"
15866,"Lukas Holas","UniFox"
15867,"Michal Vlasak","UniFox"
15868,"Vadim Bilousov","UniFox"
15869,"Jan Turek","UniFox"
15870,"Peng Lei","PepperDB"
15871,"Remy Trichar","PepperDB"
15872,"Sean Fu","PepperDB"
15873,"Roy Guo","PepperDB"
15874,"Bothini Navaneethan","Metabase Network"
15875,"Collin Thompson","Metabase Network"
15876,"Hari Vaerhn","Metabase Network"
15877,"Kevin Kim","Metabase Network"
15878,"Julien Breteau","Metabase Network"
15879,"Zach Piester","Metabase Network"
15880,"Ezequiel Djeredjian","Metabase Network"
15881,"Anthony Back","Metabase Network"
15882,"Wen Qiang","Emotiq"
15883,"Anna Movchaniuk","Emotiq"
15884,"Mark Evenson","Emotiq"
15885,"Mark David","Emotiq"
15886,"Paul Tarvydas","Emotiq"
15887,"Shannon Spires","Emotiq"
15888,"David McClain, PhD","Emotiq"
15889,"Emma Cooper","Emotiq"
15890,"Vladimir Lebedev","Emotiq"
15891,"Joel Reymont","Emotiq"
15892,"Taylor French","Oyster Shell"
15893,"Chris Bamber","Oyster Shell"
15894,"Chris Garner","Oyster Shell"
15895,"Alex Firmani","Oyster Shell"
15896,"Bill Cordes","Oyster Shell"
15897,"Bruno Block","Oyster Shell"
15898,"John Patrick","HeroNode"
15899,"Mason Zhang","HeroNode"
15900,"Jacob Yu","HeroNode"
15901,"Carl Zhu","HeroNode"
15902,"Daniel Li","HeroNode"
15903,"Guoping Liu","HeroNode"
15904,"Dr. Lei Qi","Content Neutrality Network"
15905,"Siddharth Puri","Content Neutrality Network"
15906,"Kevin Wang","Content Neutrality Network"
15907,"Dr. Linjie Luo","Content Neutrality Network"
15908,"Dr. Maggie Ma","Content Neutrality Network"
15909,"Forrest Chen","Content Neutrality Network"
15910,"Wu Dong","InsurChain"
15911,"Yue Yifan","InsurChain"
15912,"Xin Xianbao","InsurChain"
15913,"Satou Yousuke","InsurChain"
15914,"Li Pu","InsurChain"
15915,"Yang Xuan","InsurChain"
15916,"Claude Kim","FuzeX"
15917,"Steven Oh","FuzeX"
15918,"James Lee","FuzeX"
15919,"Daniel Kim","FuzeX"
15920,"Michael Park","FuzeX"
15921,"Andrew Bae","FuzeX"
15922,"Lu Yao","Nebula AI"
15923,"Yanping Lu","Nebula AI"
15924,"Yanyan Li","Nebula AI"
15925,"Tengke Xiong","Nebula AI"
15926,"Qinhui Lin","Nebula AI"
15927,"Charles Cao","Nebula AI"
15928,"Erin Bailey","Algebraix Data"
15929,"Shane McDougal","Algebraix Data"
15930,"Gary J. Sherman, PhD","Algebraix Data"
15931,"Gerhard Fiedler","Algebraix Data"
15932,"Michelle Ray","Algebraix Data"
15933,"Therese Fahy","Algebraix Data"
15934,"Ben Tuttle","Algebraix Data"
15935,"Raj Lakhani","Algebraix Data"
15936,"Steven Wilkinson","Algebraix Data"
15937,"Robin Bloor, PhD","Algebraix Data"
15938,"Andy Shah","Algebraix Data"
15939,"Charles H. Silver","Algebraix Data"
15940,"Pascal Lejolif","Decentralized Machine Learning"
15941,"Patrick Sum","Decentralized Machine Learning"
15942,"Wilson Lau","Decentralized Machine Learning"
15943,"Jacky Chan","Decentralized Machine Learning"
15944,"Michael Kwok","Decentralized Machine Learning"
15945,"Victor Cheung","Decentralized Machine Learning"
15946,"Jay Lim","Penta"
15947,"Emil Chan","Penta"
15948,"Alan Finkel","Penta"
15949,"Stephane Laurent","Penta"
15950,"Steve Melnikoff","Penta"
15951,"David Ritter","Penta"
15952,"Mark Lynd","Successlife"
15953,"Cat Song, Esq.","Successlife"
15954,"Ryan Scott","Successlife"
15955,"Totka Spasova","Successlife"
15956,"Davis Koh","Successlife"
15957,"Chong Koh Vui","Successlife"
15958,"June Yoon","Successlife"
15959,"Vivien Low","Successlife"
15960,"Michael Lane","Successlife"
15961,"Helen Treloar","Successlife"
15962,"Bertus Fick","Successlife"
15963,"Jason Tyne","Successlife"
15964,"Clarence Ho","Successlife"
15965,"Joshua Goh","Successlife"
15966,"Loh Chang Chiat","Successlife"
15967,"Peggy Chan","Successlife"
15968,"Tony Lorge","Successlife"
15969,"Dr Patrick Liew","Successlife"
15970,"Veronica Chew","Successlife"
15971,"Michael Burnett","Successlife"
15972,"Richard Tan Poh Choon","Successlife"
15973,"James Rutledge","Imbrex"
15974,"Edouard Barthelemy","Imbrex"
15975,"Piyush Shivastrava","Imbrex"
15976,"Brock Haugen","Imbrex"
15977,"Alex Jacoby","Imbrex"
15978,"Stephen King","Imbrex"
15979,"Mirey Faema","Uulala"
15980,"Allan Sheu","Uulala"
15981,"Simran A Singh","Uulala"
15982,"Joseph McDermott","Uulala"
15983,"Marcial Landa","Uulala"
15984,"Andre Urena","Uulala"
15985,"Deborah Castillero","Uulala"
15986,"Damiano Raigoza","Uulala"
15987,"Matthew Loughran","Uulala"
15988,"Alan Alvardo","Uulala"
15989,"Frank Dicrisi","Uulala"
15990,"Oscar Garcia","Uulala"
15991,"Kirsten Montgomery","ODEM"
15992,"Gustavo Guimarães","ODEM"
15993,"Adel ElMessiry","ODEM"
