"id","company_name","sector"
569,"OKX","Asia"
570,"Footprint Analytics","Software"
571,"Footprint Analytics","DeFi"
572,"Footprint Analytics","Asia"
573,"BlockDown","Media"
574,"BlockDown","Europe"
575,"SolRazr","Software"
576,"SolRazr","Development"
577,"SolRazr","Asia"
578,"Quantum Economics","Research"
579,"Quantum Economics","Advisory"
580,"Quantum Economics","Europe"
581,"Velo Trust","Exchange"
582,"Velo Trust","Europe"
583,"Ignite","Software"
584,"Ignite","Development"
585,"Ignite","North America"
586,"Galaxy Digital","Venture Capital"
587,"Galaxy Digital","Asset Management"
588,"Galaxy Digital","North America"
589,"Circle","Software"
590,"Circle","Research"
591,"Circle","Exchange"
592,"Circle","North America"
593,"BlockFi","Lending & Borrowing"
594,"BlockFi","North America"
595,"Launchpool Labs","Accelerator"
596,"Launchpool Labs","Europe"
597,"Launchpool Labs","Asia"
598,"Morningstar Ventures","Venture Capital"
599,"Morningstar Ventures","Middle East"
600,"Matterblock","Venture Capital"
601,"Bity","Exchange"
602,"Bity","Europe"
603,"BitMEX","Research"
604,"BitMEX","Exchange"
605,"BitMEX","Asia"
606,"ConsenSys","Venture Capital"
607,"ConsenSys","Software"
608,"ConsenSys","Education"
609,"ConsenSys","Development"
610,"ConsenSys","Advisory"
611,"ConsenSys","North America"
612,"Dfinity","Software"
613,"Dfinity","Research"
614,"Dfinity","Development"
615,"Dfinity","North America"
616,"Dfinity","Europe"
617,"LimeWire","NFT Marketplace"
618,"LimeWire","Europe"
619,"CoinDesk","Media"
620,"CoinDesk","North America"
621,"Three Arrows Capital","Venture Capital"
622,"Three Arrows Capital","Asia"
623,"Magic Eden","NFT Marketplace"
624,"Magic Eden","North America"
625,"Decrypt","Media"
626,"Decrypt","North America"
627,"Bakkt","Exchange"
628,"Bakkt","North America"
629,"Coinbase NFT","NFT Marketplace"
630,"Coinbase NFT","North America"
631,"Bridgewater Associates","Venture Capital"
632,"Bridgewater Associates","North America"
633,"Paradigm","Venture Capital"
634,"Paradigm","North America"
635,"GhostRider Ventures","Venture Capital"
636,"GhostRider Ventures","North America"
637,"Crypto.com NFT","NFT Marketplace"
638,"Crypto.com NFT","Asia"
639,"LooksRare","NFT Marketplace"
640,"LooksRare","North America"
641,"Singular","NFT Marketplace"
642,"Singular","Europe"
643,"Input Output","Software"
644,"Input Output","Research"
645,"Input Output","Development"
646,"Input Output","Asia"
647,"Solanart","NFT Marketplace"
648,"Solanart","North America"
649,"GiveCrypto","Philanthropy"
650,"GiveCrypto","Nonprofit"
651,"GiveCrypto","North America"
652,"Ava Labs","Software"
653,"Ava Labs","Development"
654,"Ava Labs","North America"
655,"Haun Ventures","Venture Capital"
656,"Haun Ventures","North America"
657,"Ascensive Assets","Venture Capital"
658,"Ascensive Assets","Asia"
659,"Kusama Kingdom","NFT Brand"
660,"Kusama Kingdom","Europe"
661,"Yuga Labs","NFT Brand"
662,"Yuga Labs","North America"
663,"Block","Software"
664,"Block","North America"
665,"Jsquare","Venture Capital"
666,"Jsquare","Asia"
667,"Optimism","Software"
668,"Optimism","Development"
669,"Optimism","North America"
670,"Reflexer Labs","Software"
671,"Reflexer Labs","Development"
672,"Reflexer Labs","North America"
673,"CoinList","Exchange"
674,"CoinList","North America"
675,"FTX US Derivatives (formerly LedgerX)","Exchange"
676,"FTX US Derivatives (formerly LedgerX)","North America"
677,"Bored Ape Yacht Club","NFT Brand"
678,"Bored Ape Yacht Club","North America"
679,"Sky Mavis","Software"
680,"Sky Mavis","Asia"
681,"Digital Finance Group","Venture Capital"
682,"Digital Finance Group","Asia"
683,"Quadency","Software"
684,"Quadency","Asset Management"
685,"Quadency","North America"
686,"SwissBorg","Exchange"
687,"SwissBorg","Europe"
688,"Delphi Digital","Venture Capital"
689,"Delphi Digital","Software"
690,"Delphi Digital","Research"
691,"Delphi Digital","North America"
692,"Crypto.com","Exchange"
693,"Crypto.com","Asia"
694,"DeFiance Capital","Venture Capital"
695,"DeFiance Capital","Asia"
696,"CoinGecko","Venture Capital"
697,"CoinGecko","Research"
698,"CoinGecko","Education"
699,"CoinGecko","Analytics"
700,"CoinGecko","Asia"
701,"Meta","Software"
702,"Meta","North America"
703,"Ark Invest","Venture Capital"
704,"Ark Invest","North America"
705,"Terraform Labs","Software"
706,"Terraform Labs","Development"
707,"Terraform Labs","Asia"
708,"Luna Foundation Guard","Nonprofit"
709,"Luna Foundation Guard","Asset Management"
710,"Luna Foundation Guard","Asia"
711,"Coinbase Ventures","Venture Capital"
712,"Coinbase Ventures","North America"
713,"IntoTheBlock","Software"
714,"IntoTheBlock","Research"
715,"IntoTheBlock","North America"
716,"Alameda Research","Venture Capital"
717,"Alameda Research","Research"
718,"Alameda Research","Asia"
719,"OpenSea","NFT Marketplace"
720,"OpenSea","North America"
721,"Symbiosis Labs","Software"
722,"Symbiosis Labs","Exchange"
723,"Symbiosis Labs","Europe"
724,"42 Studio","Marketing"
725,"42 Studio","Development"
726,"42 Studio","Asia"
727,"The Block","Media"
728,"The Block","North America"
729,"Cointelegraph","Media"
730,"Cointelegraph","North America"
731,"Cointelegraph","Europe"
732,"Zebu Digital","Marketing"
733,"Zebu Digital","Europe"
734,"Blockworks","Media"
735,"Blockworks","North America"
736,"SmartFi","Exchange"
737,"SmartFi","North America"
738,"Spendabit","Retail"
739,"Spendabit","North America"
740,"Onomy Protocol","Exchange"
741,"Onomy Protocol","Development"
742,"Onomy Protocol","North America"
743,"MINERSET","Software"
744,"MINERSET","Retail"
745,"MINERSET","Accelerator"
746,"MINERSET","Asia"
747,"zkLend","DeFi"
748,"zkLend","Asia"
749,"Autograph","NFT Marketplace"
750,"Autograph","North America"
751,"Swyftx","Exchange"
752,"Swyftx","Oceania"
753,"Animoca Brands","Venture Capital"
754,"Animoca Brands","Entertainment"
755,"Animoca Brands","Development"
756,"Animoca Brands","Asia"
757,"Union Square Ventures","Venture Capital"
758,"Union Square Ventures","North America"
759,"Dapper Labs","NFT Marketplace"
760,"Dapper Labs","Development"
761,"Dapper Labs","North America"
762,"Blockchain Game Alliance","Nonprofit"
763,"Blockchain Game Alliance","Education"
764,"Blockchain Game Alliance","North America"
765,"XT.COM Exchange","Exchange"
766,"XT.COM Exchange","Asia"
767,"CertiK","Software"
768,"CertiK","Auditing Firm"
769,"CertiK","North America"
770,"Strike","Software"
771,"Strike","Payments"
772,"Strike","North America"
