"id","product_name","ccy"
374,"Antminer Z9 mini","Zero"
375,"Antminer Z9 mini","ZClassic"
376,"Antminer Z9 mini","Flux"
377,"Antminer Z9 mini","Bitgem"
378,"Antminer Z9 mini","BitcoinZ"
379,"Antminer Z9 mini","Komodo"
380,"Antminer Z9 mini","Bitcoin Private"
381,"Antminer Z9 mini","Hush"
382,"Antminer Z9 mini","ZenCash"
383,"Antminer Z9 mini","Bitcoin Gold"
384,"Antminer Z9 mini","Zcash"
385,"HyperDragons","Ethereum"
386,"Blockchain Cuties","Ethereum"
387,"Gods Unchained","Ethereum"
388,"Fomo3D","Ethereum"
389,"CryptoKitties","Ethereum"
390,"A5 DashMaster","Dash"
391,"Antminer L3+ (504 MH/s)","Dogecoin"
392,"Antminer L3+ (504 MH/s)","Verge"
393,"Antminer L3+ (504 MH/s)","Auroracoin"
394,"Antminer L3+ (504 MH/s)","FLO"
395,"Antminer L3+ (504 MH/s)","Gulden"
396,"Antminer L3+ (504 MH/s)","Einsteinium"
397,"Antminer L3+ (504 MH/s)","GameCredits"
398,"Antminer L3+ (504 MH/s)","DigiByte"
399,"Antminer L3+ (504 MH/s)","Litecoin"
400,"TREZOR Model T","BNB"
401,"TREZOR Model T","Dogecoin"
402,"TREZOR Model T","DigiByte"
403,"TREZOR Model T","Qtum"
404,"TREZOR Model T","Lisk"
405,"TREZOR Model T","NEM"
406,"TREZOR Model T","Bitcoin Cash"
407,"TREZOR Model T","Bitcoin Gold"
408,"TREZOR Model T","Zcash"
409,"TREZOR Model T","Dash"
410,"TREZOR Model T","Ethereum Classic"
411,"TREZOR Model T","Ethereum"
412,"TREZOR Model T","Litecoin"
413,"TREZOR Model T","Bitcoin"
414,"MegaCryptoPolis","Ethereum"
415,"Ethereum Name Service","Ethereum"
416,"Brave Browser","Basic Attention Token"
417,"Steemit","Steem Dollars"
418,"Steemit","Steem"
419,"Wizards.one","EOS"
420,"ZBG App","Dogecoin"
421,"ZBG App","Horizen"
422,"ZBG App","Qtum"
423,"ZBG App","Zcash"
424,"ZBG App","Ethereum Classic"
425,"ZBG App","Monero"
426,"ZBG App","ZBG Token"
427,"ZBG App","ZB Token"
428,"ZBG App","Dash"
429,"ZBG App","Cardano"
430,"ZBG App","TRON"
431,"ZBG App","Bitcoin Cash"
432,"ZBG App","Bitcoin SV"
433,"ZBG App","XRP"
434,"ZBG App","Litecoin"
435,"ZBG App","EOS"
436,"ZBG App","Ethereum"
437,"ZBG App","Bitcoin"
438,"MarketGod Trading","Bitcoin Cash"
439,"MarketGod Trading","EOS"
440,"MarketGod Trading","Litecoin"
441,"MarketGod Trading","Ethereum"
442,"MarketGod Trading","Bitcoin"
443,"Coinomi","Komodo"
444,"Coinomi","Kobocoin"
445,"Coinomi","Ixcoin"
446,"Coinomi","Internet of People"
447,"Coinomi","InsaneCoin"
448,"Coinomi","Hive Project"
449,"Coinomi","HempCoin"
450,"Coinomi","Helleniccoin"
451,"Coinomi","Gulden"
452,"Coinomi","Groestlcoin"
453,"Coinomi","GridCoin"
454,"Coinomi","GoByte"
455,"Coinomi","GameCredits"
456,"Coinomi","FujiCoin"
457,"Coinomi","Flixxo"
458,"Coinomi","FirstCoin"
459,"Coinomi","Feathercoin"
460,"Coinomi","Expanse"
461,"Coinomi","ExclusiveCoin"
462,"Coinomi","EuropeCoin"
463,"Coinomi","Enjin Coin"
464,"Coinomi","Einsteinium"
465,"Coinomi","EDRCoin"
466,"Coinomi","Digitalcoin"
467,"Coinomi","Diamond"
468,"Coinomi","Dentacoin"
469,"Coinomi","Dent"
470,"Coinomi","Denarius"
471,"Coinomi","Decred"
472,"Coinomi","Dalecoin"
473,"Coinomi","Crown"
474,"Coinomi","Credo"
475,"Coinomi","Crave"
476,"Coinomi","Compcoin"
477,"Coinomi","Coinlancer"
478,"Coinomi","ClubCoin"
479,"Coinomi","Clams"
480,"Coinomi","CEEK VR"
481,"Coinomi","CanYaCoin"
482,"Coinomi","Canada eCoin"
483,"Coinomi","Callisto Network"
484,"Coinomi","BritCoin"
485,"Coinomi","BlackCoin"
486,"Coinomi","BitSend"
487,"Coinomi","Bitcore"
488,"Coinomi","BitcoinZ"
489,"Coinomi","Bitcoin Private"
490,"Coinomi","Bitcoin Plus"
491,"Coinomi","Bitcoin Gold"
492,"Coinomi","Bitcoin Atom [Futures]"
493,"Coinomi","Bata"
494,"Coinomi","Auroracoin"
495,"Coinomi","AsiaCoin"
496,"Coinomi","Aeron"
497,"Coinomi","aelf"
498,"Coinomi","Abncoin"
499,"Coinomi","AdCoin"
500,"Coinomi","ZClassic"
501,"Coinomi","Verge"
502,"Coinomi","ReddCoin"
503,"Coinomi","Dogecoin"
504,"Coinomi","DigiByte"
505,"Coinomi","Zcash"
506,"Coinomi","Litecoin"
507,"Coinomi","Ethereum Classic"
508,"Coinomi","Ethereum"
509,"Coinomi","Dash"
510,"Coinomi","Bitcoin Cash"
511,"Coinomi","Bitcoin"
512,"ZB App","Stellar"
513,"ZB App","Cardano"
514,"ZB App","XRP"
515,"ZB App","Qtum"
516,"ZB App","Bitcoin Cash"
517,"ZB App","Litecoin"
518,"ZB App","EOS"
519,"ZB App","Bitcoin"
520,"ZB App","ZB Token"
521,"LocalCryptos","Ethereum"
522,"StakedWallet","XRP"
523,"StakedWallet","Dogecoin"
524,"StakedWallet","Ethereum"
525,"StakedWallet","Litecoin"
526,"StakedWallet","Bitcoin"
527,"Jaxx Liberty","Zap"
528,"Jaxx Liberty","Worldcore"
529,"Jaxx Liberty","Wings"
530,"Jaxx Liberty","Viberate"
531,"Jaxx Liberty","Unikoin Gold"
532,"Jaxx Liberty","TokenCard"
533,"Jaxx Liberty","Swarm"
534,"Jaxx Liberty","Stox"
535,"Jaxx Liberty","StormX"
536,"Jaxx Liberty","Status"
537,"Jaxx Liberty","Sense"
538,"Jaxx Liberty","SONM"
