"id","person_name","work"
305,"Pierre Rochard","Noded Bitcoin Podcast - Co-Founder"
306,"Pierre Rochard","Bitcoin Advisory - Founder"
307,"Emin Gün Sirer","Cornell University - Associate Professor"
308,"Emin Gün Sirer","Ava Labs - Founder & CEO"
309,"Joseph Poon","Lightning Labs -Co-Founder"
310,"Manish Kataria","Quadency -COO & Co-Founder"
311,"Jimmy Song","The University of Texas at Austin - Lecturer"
312,"Jimmy Song","O'Reilly Media - Author"
313,"Jimmy Song","Jimmy Song Consulting - Investor/Advisor"
314,"Jimmy Song","Programming Blockchain - Instructor"
315,"Julian Kopald","Prodoge -Founder"
316,"Kristina Lucrezia Cornèr","ENERPO Center at the European University - Research Fellow"
317,"Kristina Lucrezia Cornèr","Cointelegraph - Managing Editor"
318,"Jared Tate","Lifeboat Foundation - Advisory Board Member"
319,"Jared Tate","DigiByte -Founder"
320,"Steve Ehrlich","Voyager Token -CEO"
321,"Ivan Liljeqvist","Stockholm Blockchain - Founder"
322,"Ivan Liljeqvist","Ivan On Tech - Host"
323,"Virgil Griffith","Backbone Telecommunications - CTO"
324,"Virgil Griffith","Ethereum Foundation -Research Scientist"
325,"Dae Yu","Yellow Umbrella Ventures - Independent Angel Investor"
326,"Dae Yu","Windshield Time - Co-Host & Co-Founder"
327,"Brad Garlinghouse","Ripple -CEO"
328,"Riccardo Spagni","Tari Labs - CTO"
329,"Riccardo Spagni","Monero -Former Project Lead"
330,"Richard Heart","HEX -Founder"
331,"Roger Ver","Bitcoin Foundation - Founding Member & Board Advisor"
332,"Roger Ver","Bitcoin.com - Executive Chairman"
333,"Brendan Blumer","Block.one -CEO"
334,"Peter McCormack","What Bitcoin Did - Host"
335,"Mark Mueller-Eberstein","Washington IoT Council - Council Member"
336,"Mark Mueller-Eberstein","Qianhai Institutie for Innovative Research - Senior Research Fellow"
337,"Mark Mueller-Eberstein","REDDS Venture Investment Partners - Advisor"
338,"Mark Mueller-Eberstein","Alliance of Angels - Member"
339,"Mark Mueller-Eberstein","CoinStats -Chair of the Advisor Board"
340,"Mark Mueller-Eberstein","Bloccelerate -Advisor and Investor"
341,"Mark Mueller-Eberstein","Adgetec - CEO & Founder"
