"id","company_name","gallery"
143,"bitFlyer","https://cryptoslate.com/wp-content/uploads/2020/06/bitFlyer-gallery-1.jpg"
144,"bitFlyer","https://cryptoslate.com/wp-content/uploads/2020/06/bitFlyer-gallery-2.jpg"
145,"EMURGO","https://cryptoslate.com/wp-content/uploads/2019/11/emurgo-meetup-japan.jpg"
146,"EMURGO","https://cryptoslate.com/wp-content/uploads/2019/11/ken-kodama-on-stage-1.jpg"
147,"EMURGO","https://cryptoslate.com/wp-content/uploads/2019/04/EMURGO-gallery-1.jpg"
148,"SwapSpace","https://cryptoslate.com/wp-content/uploads/2020/06/swapspace-gallery-1.jpg"
149,"SwapSpace","https://cryptoslate.com/wp-content/uploads/2020/06/swapspace-gallery-3.jpg"
150,"SwapSpace","https://cryptoslate.com/wp-content/uploads/2020/06/swapspace-gallery-2.jpg"
151,"Crypto.Games","https://cryptoslate.com/wp-content/uploads/2020/06/Crypto-Games-gallery-2.jpg"
152,"Crypto.Games","https://cryptoslate.com/wp-content/uploads/2020/06/Crypto-Games-gallery-3.jpg"
153,"Crypto.Games","https://cryptoslate.com/wp-content/uploads/2020/06/Crypto-Games-gallery-1.jpg"
154,"YouHodler","https://cryptoslate.com/wp-content/uploads/2020/06/youhodler-gallery-1.jpg"
155,"YouHodler","https://cryptoslate.com/wp-content/uploads/2020/06/youhodler-gallery-2.jpg"
156,"YouHodler","https://cryptoslate.com/wp-content/uploads/2020/06/youhodler-gallery-3.jpg"
157,"Phemex","https://cryptoslate.com/wp-content/uploads/2020/06/Phemex-gallery-social.jpg"
158,"Bityard","https://cryptoslate.com/wp-content/uploads/2020/06/Bityard-gallery-1.jpg"
159,"Bityard","https://cryptoslate.com/wp-content/uploads/2020/06/Bityard-gallery-2.jpg"
160,"Switchere","https://cryptoslate.com/wp-content/uploads/2020/05/Switchere-gallery-3.jpg"
161,"Switchere","https://cryptoslate.com/wp-content/uploads/2020/05/Switchere-gallery-2.jpg"
162,"Switchere","https://cryptoslate.com/wp-content/uploads/2020/05/Switchere-gallery-1.jpg"
163,"XBTPro","https://cryptoslate.com/wp-content/uploads/2020/05/XBTpro-gallery-2.jpg"
164,"XBTPro","https://cryptoslate.com/wp-content/uploads/2020/05/XBTpro-gallery-1.jpg"
165,"Exolix","https://cryptoslate.com/wp-content/uploads/2020/08/exolix-galery-2-social.jpg"
166,"Exolix","https://cryptoslate.com/wp-content/uploads/2020/08/exolix-galery-1-social.jpg"
167,"CryptoAltum","https://cryptoslate.com/wp-content/uploads/2020/07/gallery-1-social.jpg"
